Rank,Title,Information,Score,Sinopse
146,Mushishi: Hihamukage,"TV Special (1 eps),Jan 2014 - Jan 2014,152,796 members",8.53,"The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath. 
 
Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light. 
 
[Written by MAL Rewrite]"
145,Fruits Basket 2nd Season,"TV (25 eps),Apr 2020 - Sep 2020,580,501 members",8.53,"A year has passed since Tooru Honda began living in the Souma residence, and she has since created stronger relationships with its inhabitants Shigure, Kyou, and Yuki. She has also grown closer to the rest of the Souma family and has become familiar with their ancestral secret, having helped them with many of their personal issues. The closer Tooru gets, however, the more she begins to realize that their secret holds a darker truth than she first presumed. 
 
Summer is approaching and Tooru is invited to spend her days with the Soumas, mainly Kyou and Yuki. Tooru wishes for an easy-going vacation, but her close relationships with the two boys and the rest of the Soumas may prove to cause trouble. As they grow more intimate, their carefree time together is hindered by older hardships and feelings from the past that begin to resurface. The Eternal Banquet also dawns on the members of the zodiac, and they must tend to their duties alongside the unnerving head of the family, Akito Souma. 
 
With the banquet approaching and a plethora of feelings to be solved, will Tooru's life with the Soumas remain peaceful, or will she find herself in a situation from which she cannot escape? 
 
[Written by MAL Rewrite]"
144,[Oshi no Ko],"TV (11 eps),Apr 2023 - Jun 2023,1,033,621 members",8.54,"In the entertainment world, celebrities often show exaggerated versions of themselves to the public, concealing their true thoughts and struggles beneath elaborate lies. Fans buy into these fabrications, showering their idols with undying love and support, until something breaks the illusion. Sixteen-year-old rising star Ai Hoshino of pop idol group B Komachi has the world captivated; however, when she announces a hiatus due to health concerns, the news causes many to become worried. 
 
As a huge fan of Ai, gynecologist Gorou Amemiya cheers her on from his countryside medical practice, wishing he could meet her in person one day. His wish comes true when Ai shows up at his hospital—not sick, but pregnant with twins! While the doctor promises Ai to safely deliver her children, he wonders if this encounter with the idol will forever change the nature of his relationship with her. 
 
[Written by MAL Rewrite]"
143,Shouwa Genroku Rakugo Shinjuu,"TV (13 eps),Jan 2016 - Apr 2016,313,253 members",8.54,"Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of rakugo, a traditional Japanese form of comedic storytelling. Inspired during his incarceration by the performance of distinguished practitioner Yakumo Yuurakutei, he sets his mind on meeting the man who changed his life. After hearing Yotarou's desperate appeal for his mentorship, Yakumo is left with no choice but to accept his very first apprentice. 
 
As he eagerly begins his training, Yotarou meets Konatsu, an abrasive young woman who has been under Yakumo's care ever since her beloved father Sukeroku Yuurakutei, another prolific rakugo performer, passed away. Through her hidden passion, Yotarou is drawn to Sukeroku's unique style of rakugo despite learning under contrasting techniques. Upon seeing this, old memories and feelings return to Yakumo who reminisces about a much earlier time when he made a promise with his greatest rival. 
 
  is a story set in both the past and present, depicting the art of rakugo, the relationships it creates, and the lives and hearts of those dedicated to keeping the unique form of storytelling alive. 
 
[Written by MAL Rewrite]"
142,Shingeki no Kyojin Season 2,"TV (12 eps),Apr 2017 - Jun 2017,2,998,279 members",8.54,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more. 
 
In  , Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members. 
 
[Written by MAL Rewrite]"
141,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Movie (1 eps),Oct 2020 - Oct 2020,1,762,824 members",8.54,"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand. 
 
Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. As things begin to spiral out of control, Tanjirou's resolve and commitment to duty are put to the test. 
 
[Written by MAL Rewrite]"
140,Kaoru Hana wa Rin to Saku,"TV (13 eps),Jul 2025 - Sep 2025,429,294 members",8.54,"The all-girls Kikyo Private Academy and Chidori Public High School are polar opposites. With its prestigious history, Kikyo is attended by noble young ladies from distinguished families, while Chidori is infamously full of simple-minded delinquents. It is no surprise that their students clash with their differences. 
 
Having a tall stature and fierce appearance, Chidori student Rintarou Tsumugi is often avoided by others despite his gentle heart. One day, while helping out at his family's patisserie, he meets a customer who, after a brief moment, runs away from him. The next day, the customer returns to apologize to Rintarou, introducing herself as the cheerful Kaoruko Waguri. 
 
After spending time with Kaoruko, Rintarou appreciates that she does not judge him based on his appearance and looks forward to when they will meet again. However, when Rintarou discovers Kaoruko attends Kikyo, their relationship will challenge the social expectations and dynamics around them. 
 
[Written by MAL Rewrite]"
139,Hotaru no Haka,"Movie (1 eps),Apr 1988 - Apr 1988,761,620 members",8.54,"As World War II reaches its conclusion in 1945, Japan faces widespread destruction in the form of American bombings, devastating city after city.  , also known as  , is the story of Seita and his sister Setsuko, two Japanese children whose lives are ravaged by the brutal war. They have lost their mother, their father, their home, and the prospect of a bright future—all tragic consequences of the war. 
 
Now orphaned and homeless, Seita and Setsuko have no choice but to drift across the countryside, beset by starvation and disease. Met with the apathy of adults along the way, they find that desperate circumstances can turn even the kindest of people cruel yet their youthful hope shines brightly in the face of unrelenting hardship, preventing the siblings from swiftly succumbing to an inevitable fate. 
 
[Written by MAL Rewrite]"
138,Fate/Zero 2nd Season,"TV (12 eps),Apr 2012 - Jun 2012,1,191,004 members",8.54,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win. 
 
Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat. 
 
[Written by MAL Rewrite]"
137,Yojouhan Shinwa Taikei,"TV (11 eps),Apr 2010 - Jul 2010,492,377 members",8.55,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life. 
 
Surreal, artistic, and mind-bending,   chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of. 
 
[Written by MAL Rewrite]"
136,Steins;Gate 0,"TV (23 eps),Apr 2018 - Sep 2018,950,092 members",8.55,"The eccentric, self-proclaimed mad scientist Rintarou Okabe has become a shell of his former self. Depressed and traumatized after failing to rescue his friend Makise Kurisu, he has decided to forsake his mad scientist alter ego and live as an ordinary college student. Surrounded by friends who know little of his time travel experiences, Okabe spends his days trying to forget the horrors of his adventures alone.  
 
While working as a receptionist at a college technology forum, Okabe meets the short, spunky Maho Hiyajo, who  
later turns out to be the interpreter at the forum's presentation, conducted by Professor Alexis Leskinen. In front of a stunned crowd, Alexis and Maho unveil Amadeus—a revolutionary AI capable of storing a person's memories and creating a perfect simulation of that person complete with their personality and quirks. Meeting with Maho and Alexis after the presentation, Okabe learns that the two were Kurisu's colleagues in university, and that they have simulated her in Amadeus. Hired by Alexis to research the simulation's behavior, Okabe is given the chance to interact with the shadow of a long-lost dear friend. Dangerously tangled in the past, Okabe must face the harsh reality and carefully maneuver around the disastrous consequences that come with disturbing the natural flow of time. 
 
[Written by MAL Rewrite]"
135,Perfect Blue,"Movie (1 eps),Feb 1998 - Feb 1998,814,425 members",8.55,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her. 
 
However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy. 
 
[Written by MAL Rewrite]"
200,Haikyuu!!,"TV (25 eps),Apr 2014 - Sep 2014,2,159,748 members",8.43,"Ever since having witnessed the ""Little Giant"" and his astonishing skills on the volleyball court, Shouyou Hinata has been bewitched by the dynamic nature of the sport. Even though his attempt to make his debut as a volleyball regular during a middle school tournament went up in flames, he longs to prove that his less-than-impressive height ceases to be a hindrance in the face of his sheer will and perseverance. 
 
When Hinata enrolls in Karasuno High School, the Little Giant's alma mater, he believes that he is one step closer to his goal of becoming a professional volleyball player. Although the school only retains a shadow of its former glory, Hinata's conviction isn't shaken until he learns that Tobio Kageyama—the prodigy who humiliated Hinata's middle school volleyball team in a crushing defeat—is now his teammate. 
 
To fulfill his desire of leaving a mark on the realm of volleyball—so often regarded as the domain of the tall and the strong—Hinata must smooth out his differences with Kageyama. Only when Hinata learns what it takes to be a part of a team will he be able to join the race to the top in earnest. 
 
[Written by MAL Rewrite]"
199,Golden Kamuy: Saishuushou,"TV (13 eps),Jan 2026 - Mar 2026,52,522 members",8.43,"Ex-convict Keiji Ueji appears in Sapporo, causing all the different factions to travel to the city in hopes of obtaining part of the map to the Ainu gold that is tattooed on his skin. At the same time, a figure who appears to be a copycat of Jack the Ripper terrorizes the streets of Sapporo. Saichi Sugimoto, Asirpa, and Yoshitake Shiraishi—joined by Fusatarou ""Boutarou the Pirate"" Oosawa and Vasily Pavlichenko—temporarily ally themselves with Toshizou Hijikata, as his faction's motives are somewhat less disturbing than those of Seventh Division's First Lieutenant Tokushirou Tsurumi. 
 
Asirpa attempts to collect all the information needed to tell apart the fake skins from the real ones, but she cannot decipher the map with certainty. Sugimoto swears never to part with Asirpa again, but the commotion around the serial killer allows for new betrayals and Tsurumi's plan for capturing Asirpa to advance. As the hunt for the gold nears its conclusion, the future of the Ainu rests in the hands of those who claim it first. 
 
[Written by MAL Rewrite]"
198,Golden Kamuy 3rd Season,"TV (12 eps),Oct 2020 - Dec 2020,198,647 members",8.43,"After obtaining information about Asirpa from the foreteller Inkarmat, Saichi Sugimoto, Genjirou Tanigaki, and Cikapasi join the Seventh Division's Otonoshin Koito and Hajime Tsukishima on a journey to Karafuto. Heading further north into the freezing Russian territory, they collect any clues about Asirpa's whereabouts they can find and rush after her. 
 
Meanwhile, Asirpa is unaware of what truly transpired at Abashiri Prison. Deeply disturbed and confused by her father Wilk's past actions, Asirpa follows his old friend Kiroranke to the place where Wilk was born and raised in order to better understand his motives. However, Kiroranke and the master sniper Hyakunosuke Ogata are scheming behind her back. 
 
Even if they were to obtain all 24 tattooed skins that form a map to the lost Ainu gold, the various factions searching for it now understand that the map is useless without Asirpa. Realizing the danger she could be in, Sugimoto desperately hopes to reach Asirpa first and protect her from the greedy clutches of those who plan to drag her into their sins. 
 
[Written by MAL Rewrite]"
197,Chainsaw Man,"TV (12 eps),Oct 2022 - Dec 2022,1,934,391 members",8.43,"Denji is robbed of a normal teenage life, left with nothing but his deadbeat father's overwhelming debt. His only companion is his pet, the chainsaw devil Pochita, with whom he slays devils for money that inevitably ends up in the yakuza's pockets. All Denji can do is dream of a good, simple life: one with delicious food and a beautiful girlfriend by his side. But an act of greedy betrayal by the yakuza leads to Denji's brutal, untimely death, crushing all hope of him ever achieving happiness. 
 
Remarkably, an old contract allows Pochita to merge with the deceased Denji and bestow devil powers on him, changing him into a hybrid able to transform his body parts into chainsaws. Because Denji's new abilities pose a significant risk to society, the Public Safety Bureau's elite devil hunter Makima takes him in, letting him live as long as he obeys her command. Guided by the promise of a content life alongside an attractive woman, Denji devotes everything and fights with all his might to make his naive dreams a reality. 
 
[Written by MAL Rewrite]"
196,Zoku Owarimonogatari,"TV (6 eps),May 2019 - Jun 2019,251,351 members",8.44,"Graduation day is finally here, marking the end of Koyomi Araragi's eccentric high school life full of peculiar relationships with otherworldly beings. 
 
However, Araragi is unexpectedly absorbed into his own bathroom mirror and trapped inside a bizarre world where everything he knows is completely reversed—the haughty Karen Araragi is shorter than usual, poker-faced Yotsugi Ononoki is brimming with emotion, and cute ghost girl Mayoi Hachikuji is a grown woman! But not everything is as it seems. 
 
  details the story of Araragi's endeavors in this new world as he struggles to return to his home and understand the nature of this bizarre dimension. 
 
[Written by MAL Rewrite]"
195,Pluto,"ONA (8 eps),Oct 2023 - Oct 2023,246,923 members",8.44,"Gesicht, an android police detective of Europol, is tasked with finding the murderer of Montblanc, a retired war hero robot. Although it appears that only a robot could have committed this crime, the murder of a renowned robot rights activist casts doubts on the criminal's identity. Indeed, outside of an isolated and unexplained incident that occurred eight years ago, robots are programmed to be unable to kill human beings. However, the lack of human evidence on the crime scene and the similarity of modus operandi lead Gesicht to suspect that the two murderers might be the same being—be they man or robot. 
 
Shortly after Montblanc's passing, another retired elite war robot is mysteriously eliminated. Gesicht notices a pattern in the choice of murder victim: both dead robots belonged to a group of the seven most powerful war machines ever designed. Determined to stop the murderer from eliminating the five remaining veterans, Gesicht seeks help from Atom, a cutting-edge android who resembles a human boy. The duo must now hunt down the rogue killer before the series of murders is carried on, lest the very fabric of society suffer irremediable damage. 
 
[Written by MAL Rewrite]"
194,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,"TV (24 eps),Jan 2015 - Jun 2015,1,239,274 members",8.44,"Joutarou Kuujou and his allies have finally made it to Egypt, where the immortal Dio awaits. Upon their arrival, the group gains a new comrade: Iggy, a mutt who wields the Stand ""The Fool."" It's not all good news however, as standing in their path is a new group of Stand users who serve Dio, each with a Stand representative of an ancient Egyptian god. As their final battle approaches, it is a race against time to break Joutarou's mother free from her curse and end Dio's reign of terror over the Joestar family once and for all. 
 
[Written by MAL Rewrite]"
193,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Movie (1 eps),Apr 2013 - Apr 2013,639,801 members",8.45,"After a year in America, Kurisu Makise returns to Akihabara and reunites with Rintarou Okabe. However, their reunion is cut short when Okabe begins to experience recurring flashes of other timelines as the consequences of his time traveling start to manifest. These side effects eventually culminate in Okabe suddenly vanishing from the world, and only the startled Kurisu has any memory of his existence. 
 
In the midst of despair, Kurisu is faced with a truly arduous choice that will test both her duty as a scientist and her loyalty as a friend: follow Okabe's advice and stay away from traveling through time to avoid the potential consequences it may have on the world lines, or ignore it to rescue the person that she cherishes most. Regardless of her decision, the path she chooses is one that will affect the past, the present, and the future. 
 
[Written by MAL Rewrite]"
192,Owarimonogatari,"TV (12 eps),Oct 2015 - Dec 2015,508,930 members",8.45,"A peculiar transfer student named Ougi Oshino has just arrived at Naoetsu Private High School. She is quickly introduced to senior student Koyomi Araragi by their mutual friend Kanbaru Suruga, in hopes of obtaining advice regarding a strange discovery she has made. After taking a look at the school's layout, Ougi notices that a classroom has appeared in an otherwise empty area—a place that should not exist.  
 
Unsure if this is the work of an apparition, Araragi and Ougi attempt to unravel the truth behind this enigma. But Araragi soon discovers, after finding himself locked in with Ougi, that the room holds the memory of an event he had long since forgotten. 
 
[Written by MAL Rewrite]"
191,Mo Dao Zu Shi: Xian Yun Pian,"ONA (8 eps),Aug 2019 - Sep 2019,118,413 members",8.45,"Continuing his masquerade as the deranged lunatic from the Lanling Jin Clan, Wei Wuxian resides in the Cloud Recesses while his former cultivation classmate, Lan Wangji, searches for answers about the demonic severed arm they have in custody. With an overwhelming dark energy emanating from the arm, the two are forced to work together in order to keep it contained. However, the demonic arm is not the only dark force lurking in the region, and as spiritual tensions rise in the mountains of the Gusu Lan Clan, it is up to the two of them to try and restore the natural order. 
 
The story of Wei Wuxian's fall from grace continues as more light is shed on his descent into the path of demonic cultivation. The demonic arm only further strains his mischievous spirit. This is the time for him to prove that he has truly broken free from the forbidden path and is not the maniacal sorcerer that everyone remembers him to be. 
 
[Written by MAL Rewrite]"
190,Mo Dao Zu Shi,"ONA (15 eps),Jul 2018 - Oct 2018,254,797 members",8.45,"Xian: the state of immortality that all cultivators strive to achieve. However, there is a dark energy that lies underneath—the forbidden Mo Dao, or demonic path. Through an unfortunate series of tragedies, this is the path that cultivator Wei Wuxian experiments with during his teachings. His rise in power is accompanied by chaos and destruction, but his reign of terror comes to an abrupt end when the cultivation clans overpower him and he is killed by his closest ally. 
 
Thirteen years later, Wei Wuxian is reincarnated in the body of a lunatic and reunited with Lan Wangji, a former classmate of his. This marks the beginning of a supernatural mystery that plagues the clans and threatens to disrupt their everyday life. 
 
  follows these two men on their mission to unravel the mysteries of the spiritual world. Fighting demons, ghosts, and even other cultivators, the two end up forming a bond that neither of them had ever expected. 
 
[Written by MAL Rewrite]"
189,Grand Blue,"TV (12 eps),Jul 2018 - Sep 2018,898,243 members",8.45,"Iori Kitahara moves to the coastal town of Izu for his freshman year at its university, taking residence above Grand Blue, his uncle's scuba diving shop. Iori has high hopes and dreams about having the ideal college experience, but when he enters the shop he is sucked into the alcoholic activities of the carefree members of the Diving Club who frequent the place. Persuaded by upperclassmen Shinji Tokita and Ryuujirou Kotobuki, Iori reluctantly joins their bizarre party. His cousin Chisa Kotegawa later walks in and catches him in the act, earning Iori her utter disdain. 
 
Based on Kenji Inoue and Kimitake Yoshioka's popular comedy manga,   follows Iori's misadventures with his eccentric new friends as he strives to realize his ideal college dream, while also learning how to scuba dive. 
 
[Written by MAL Rewrite]"
188,Banana Fish,"TV (24 eps),Jul 2018 - Dec 2018,957,252 members",8.45,"Aslan Jade Callenreese, known as Ash Lynx, was a runaway picked off the streets of New York City and raised by the infamous godfather of the mafia, Dino Golzine. Now 17 years old and the boss of his own gang, Ash begins investigating the mysterious ""Banana Fish""—the same two words his older brother, Griffin, has muttered since his return from the Iraq War. However, his inquiries are hindered when Dino sends his men after Ash at an underground bar he uses as a hideout. 
 
At the bar, Skip, Ash's friend, introduces him to Shunichi Ibe and his assistant, Eiji Okumura, who are Japanese photographers reporting on American street gangs. However, their conversation is interrupted when Shorter Wong, one of Ash's allies, calls to warn him about Dino. Soon, Dino's men storm the bar, and in the ensuing chaos kidnap Skip and Eiji. Now, Ash must find a way to rescue them and continue his investigation into Banana Fish, but will his history with the mafia prevent him from succeeding? 
 
[Written by MAL Rewrite]"
187,Yuu☆Yuu☆Hakusho,"TV (112 eps),Oct 1992 - Jan 1995,749,779 members",8.46,"One fateful day, Yuusuke Urameshi, a 14-year-old delinquent with a dim future, gets a miraculous chance to turn it all around when he throws himself in front of a moving car to save a young boy. His ultimate sacrifice is so out of character that the authorities of the spirit realm are not yet prepared to let him pass on. Koenma, heir to the throne of the spirit realm, offers Yuusuke an opportunity to regain his life through completion of a series of tasks. With the guidance of the death god Botan, he is to thwart evil presences on Earth as a Spirit Detective. 
 
To help him on his venture, Yuusuke enlists ex-rival Kazuma Kuwabara, and two demons, Hiei and Kurama, who have criminal pasts. Together, they train and battle against enemies who would threaten humanity's very existence. 
 
[Written by MAL Rewrite]"
186,Summertime Render,"TV (25 eps),Apr 2022 - Sep 2022,669,793 members",8.46,"Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death. 
 
Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise. 
 
Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio. 
 
[Written by MAL Rewrite]"
185,Rainbow: Nisha Rokubou no Shichinin,"TV (26 eps),Apr 2010 - Sep 2010,423,492 members",8.46,"Japan, 1955: Mario Minakami has just arrived at Shounan Special Reform School along with five other teenagers who have been arrested on serious criminal charges. All assigned to the same cell, they meet older inmate Rokurouta Sakuragi—a former boxer—with whom they establish a close bond. Under his guidance, and with the promise that they will meet again on the outside after serving their sentences, the delinquents begin to view their hopeless situation in a better light. 
 
The seven cellmates struggle together against the brutal suffering and humiliation inflicted upon them by Ishihara, a sadistic guard with a grudge on Rokurouta, and Gisuke Sasaki, a doctor who takes pleasure in violating boys. Facing such hellish conditions, the seven inmates must scrape together all the strength they have to survive until their sentences are up; but even if they do, just what kind of lives are waiting for them on the other side? 
 
[Written by MAL Rewrite]"
250,Girls & Panzer: Saishuushou Part 4,"Movie (1 eps),Oct 2023 - Oct 2023,26,497 members",8.37,"The Winter Continuous Track Cup semifinals are underway and Ooarai Girls’ Academy find themselves in deep trouble early in their match against Continuation High School. The Anglerfish Team are knocked out by Continuation's sharpshooter, forcing the rest of the team to use a different game plan. Stepping up in the absence of her star teammates, Azusa Sawa shows her leadership potential by temporarily taking over as Ooarai's commander. However, the match proves that it will take more than a new strategy for Ooarai to survive this time around. 
 
On the other side of the tournament, Kuromorimine Girls' Academy and St. Gloriana Girls' College are locked in a fiery desert battle. Having developed her own unorthodox tactical style, Erika Itsumi rallies Kuromorimine from the brink of defeat into a fierce showdown against their opponent's veteran commander, Darjeeling. But St. Gloriana have bolstered their ranks with a familiar face who recently transferred to their school, hampering Kuromorimine's quest for victory. 
 
The championship round is within striking distance for these four schools, but only two will have what it takes to move on! 
 
[Written by MAL Rewrite]"
249,Cross Game,"TV (50 eps),Apr 2009 - Mar 2010,132,501 members",8.37,"Kou Kitamura and Aoba Tsukishima are often at odds—even though their families happen to be close friends and business partners. Although the only child of a sports shop owner, Kou has never been interested in playing baseball. Despite this, he possesses an impressive batting ability honed by frequent visits to the local baseball batting center run by the Tsukishima family. On the other hand, Aoba loves to play baseball and is a star player with exceptional pitching form. 
 
However, these two seemingly complete opposites share something very important to them—Wakaba Tsukishima, Aoba's older sister and Kou's destined sweetheart. Admired by the quarrelsome duo, Wakaba often finds herself the catalyst to their never-ending rivalry. But whether or not they realize that they have more in common than either would care to admit, only time will tell. The game of baseball may just be what the pair needs to ultimately overcome their own personal struggles. 
 
[Written by MAL Rewrite]"
248,Chihayafuru 2,"TV (25 eps),Jan 2013 - Jun 2013,252,162 members",8.37,"Chihaya Ayase is obsessed with developing her school's competitive karuta club, nursing daunting ambitions like winning the national team championship at the Omi Jingu and becoming the Queen, the best female karuta player in Japan—and in extension, the world. As their second year of high school rolls around, Chihaya and her fellow teammates must recruit new members, train their minds and bodies alike, and battle the formidable opponents that stand in their way to the championship title. Meanwhile, Chihaya's childhood friend, Arata Wataya, the prodigy who introduced her to karuta, rediscovers his lost love for the old card game. 
 
[Written by MAL Rewrite]"
247,Ashita no Joe,"TV (79 eps),Apr 1970 - Sep 1971,112,043 members",8.37,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills. 
 
One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Joe dismisses Danpei as a hopeless drunk; but after the trainer saves his life, he agrees to live with him and learn the art of boxing. Unfortunately, Joe's personality makes him an unruly student, and he often falls back to his old ways. 
 
To survive the harsh world of his new career, Joe needs to trust his mentor and master the techniques taught to him. However, the road to becoming a professional boxer is rife with struggles that will test his mettle to the end. 
 
[Written by MAL Rewrite]"
246,3-gatsu no Lion,"TV (22 eps),Oct 2016 - Mar 2017,731,217 members",8.37,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall. 
 
However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions. 
 
[Written by MAL Rewrite]"
245,Yuru Camp△ Movie,"Movie (1 eps),Jul 2022 - Jul 2022,94,131 members",8.38,"As time marches forward, Rin Shima, Nadeshiko Kagamihara, and their friends have grown into full-fledged adults. Now with careers and responsibilities, they can no longer freely spend their days camping and adventuring. However, Chiaki Oogaki, who currently works for the Yamanashi Tourism Organization, reunites the group as she comes up with an exciting proposal—to build a campground together to revitalize an abandoned patch of land from their homeplace, the Yamanashi Prefecture. 
 
Motivated by this ambitious project, the girls combine their efforts to create an environment where future generations can enjoy unique moments as they once did, all while reminiscing the charms of camping from their high school days. 
 
[Written by MAL Rewrite]"
244,Vivy: Fluorite Eye's Song,"TV (13 eps),Apr 2021 - Jun 2021,604,382 members",8.38,"When highly evolved AIs set out to eradicate mankind, the carnage that ensues fills the air with the stench of fresh blood and burning bodies. In a desperate bid to prevent the calamity from ever occurring, a scientist bets everything on a remnant from the past. 
 
Turning the clock back a hundred years, AIs are already an integral part of human society, programmed with specific missions meant to be carried out for their entire course of operation. Vivy, the first ever autonomous AI, is a songstress tasked with spreading happiness through her voice. In a theme park where she hardly ever gets a proper audience, she strives to pour her heart out into her performances, bound to repeat it day after day—that is, until an advanced AI from the future appears before her and enlists her help in stopping a devastating war a hundred years in the making. With no time to process the revelation that flips her world upside down, Vivy is catapulted into a century-long journey to avert the violent history yet to come. 
 
[Written by MAL Rewrite]"
